title: EEG-recording_1, recorded: 22.05.19 00.09.55, timestamp started:2017-11-21T16:17:43.558438-08:00            , sampling:128, subject:, labels:COUNTER INTERPOLATED F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, , chan:40, samples:21145, units:emotiv
83,5344,3810,1697,3741,6753,10654,15326,32,7966,1951,8606,10081,16032,7905,
84,5408,3938,1889,3613,6753,10334,15518,32,7838,1631,7134,10273,15840,7457,
85,5472,3810,1953,3485,6753,10206,15326,32,7710,1631,6878,10273,15520,7713,
86,5536,3618,1505,3869,6689,10462,15006,32,7838,1887,8030,10337,15520,7905,
87,5600,3682,1505,3741,6561,10590,15390,32,7902,1887,7902,10401,15648,7969,
88,5664,3874,1633,3165,6305,10526,15582,32,7774,1759,7326,10145,15840,7905,
89,5728,3746,1633,3549,6817,10270,15326,32,7710,1823,8158,10081,15968,7841,
90,5792,3554,1825,3869,7137,10334,15326,32,7838,1951,8158,10209,15904,8097,
91,5856,3810,1761,3549,7009,10654,15454,32,7902,1695,6622,10401,15904,7969,
92,5920,4002,1697,3677,6881,10590,15454,32,7774,1823,6942,10785,15840,7713,
93,5984,3810,2081,3933,7073,10398,15326,32,7966,2079,8286,10849,15776,8033,
94,6048,3682,2017,3485,7073,10590,15134,32,8158,2079,8286,10401,15904,7905,
95,6112,3874,1569,3165,6945,10654,15262,32,7646,1695,7710,10017,15712,7649,
96,6176,3682,1569,3293,6817,10334,15454,32,7390,1503,7262,10465,15712,7969,
97,6240,3490,1825,3549,6625,10142,15518,32,7838,1823,6942,10529,15904,8161,
98,6304,3682,1825,3357,6561,10206,15646,32,7966,1951,7390,10209,15776,7777,
99,6368,3874,1889,3229,6625,10462,15454,32,7774,1823,7390,10145,15776,7841,
100,6432,3874,1761,3421,6945,10782,14878,32,7902,2079,7070,10337,15968,8545,
101,6496,3746,1761,3485,7201,10654,14942,32,7966,1951,7838,10401,15840,8609,
102,6560,3746,1953,3549,6753,10398,15390,32,7838,1567,8350,10145,15648,8225,
103,6624,3874,1761,3677,6433,10270,15454,32,7838,1887,7774,10209,15520,7905,
104,6688,3874,1633,3549,6689,10206,15454,32,7838,2207,7518,10273,15392,8033,
105,6752,3682,1889,3485,7073,10078,15710,32,7902,1823,8030,10273,15776,8289,
106,6816,3746,1825,3485,6817,10206,15582,32,7838,1887,8222,10401,15840,8225,
107,6880,3810,1633,3165,6497,10334,15134,32,7838,2079,8030,10337,15520,7969,
108,6944,3938,1889,3229,6625,10398,15198,32,7838,1759,7966,10017,15776,8097,
109,7008,4002,1889,3677,6817,10526,15326,32,7838,1631,7838,10209,16096,8225,
110,7072,3810,1441,3741,6945,10270,15262,32,7902,1887,7198,10529,15776,7841,
111,7136,3746,1569,3613,6817,9886,15390,32,7838,1951,7262,10465,15776,7777,
112,7200,3746,2081,3485,6753,10334,15326,32,7646,1887,7966,10401,15840,7969,
113,7264,3618,2017,3229,7009,10398,15262,32,7710,1951,7838,10593,15776,7905,
114,7328,3682,1633,3421,7137,10270,15582,32,7838,1951,7838,10529,15776,7969,
115,7392,3938,1505,3357,6817,10782,15390,32,7774,2015,8222,10273,15712,8225,
116,7456,4002,1633,3165,6625,10718,15134,32,7774,2015,7454,10273,15712,8033,
117,7520,3874,1889,3613,6625,10014,15454,32,7902,1951,7262,10529,15904,8033,
118,7584,3746,2017,3805,6689,10270,15710,32,7838,1887,8222,10593,15904,8353,
119,7648,3938,1761,3485,6689,10526,15518,32,7710,2015,8030,10529,15840,8161,
120,7712,4002,1761,3741,6689,9950,15326,32,7774,2143,6686,10273,15776,7585,
121,7776,3746,1889,3677,6945,10206,15326,32,7838,2079,6750,10273,15648,8033,
122,7840,3746,1825,3037,7009,10718,15518,32,7966,1631,7454,10401,15648,8673,
123,7904,4002,1825,3293,6753,10590,15454,32,7838,1247,7198,10273,15648,8161,
124,7968,3874,1889,3869,6689,10398,15134,32,7710,1375,7454,10337,15712,7905,
125,8032,3554,1889,3613,6881,10398,14942,32,7838,1631,8350,10401,15840,8161,
126,8096,3554,1889,3293,6753,10398,14942,32,7774,1759,7966,10273,15904,7905,
127,8160,3618,2017,3613,6817,10462,15198,32,7710,1887,7326,10273,15776,7585,
239,15328,3618,1889,3677,6881,10526,15326,32,7966,2015,7518,10337,15840,7841,
0,32,3682,1825,3357,6817,10526,15006,32,7966,1951,7518,10017,15712,8097,
1,96,3746,2017,3293,7073,10526,15134,32,7774,1695,7326,10017,15712,8161,
2,160,3682,2145,3293,7073,10526,15582,32,7838,1759,7454,10273,15840,8097,
3,224,3682,1825,3165,6753,10334,15262,32,7838,2079,7646,10273,15584,7905,
4,288,3746,1697,3357,6689,10270,14942,32,7710,1951,7198,10273,15520,7841,
5,352,3746,1761,3677,6753,10462,15262,32,7902,1759,7006,10657,15904,7841,
6,416,3746,1569,3485,6561,10270,15454,32,7838,1887,7710,10657,15904,7777,
7,480,3682,1697,3229,6753,10014,15518,32,7582,1823,8094,10209,15712,7713,
8,544,3682,1889,3293,7073,10462,15454,32,7774,1887,7134,9953,15968,8033,
9,608,4066,1697,3549,7009,10654,15454,32,7838,2335,6302,10209,15968,8161,
