title: EEG-recording_3, recorded: 16.02.23 04.36.02, timestamp started:2017-11-21T16:17:43.558438-08:00            , sampling:128, subject:, labels:COUNTER INTERPOLATED F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, , chan:40, samples:1531, units:emotiv
34,7764,7685,8643,9144,8807,8396,8470,8475,7863,9002,9661,8756,8936,7661
35,7765,7686,8641,9144,8806,8395,8468,8480,7858,9003,9658,8762,8938,7661
36,7763,7690,8640,9150,8807,8395,8474,8480,7857,9000,9657,8761,8942,7663
37,7765,7687,8643,9154,8807,8394,8476,8473,7860,8991,9661,8760,8941,7666
38,7772,7685,8648,9151,8808,8398,8476,8473,7860,8994,9661,8763,8942,7663
39,7770,7687,8645,9151,8812,8400,8479,8474,7855,9001,9656,8763,8941,7656
40,7766,7686,8643,9150,8811,8395,8476,8469,7850,8990,9658,8762,8939,7664
41,7765,7688,8648,9151,8809,8399,8473,8470,7851,8984,9659,8759,8935,7667
42,7769,7691,8649,9155,8802,8398,8471,8475,7853,8999,9657,8760,8940,7660
43,7766,7690,8640,9156,8803,8398,8475,8475,7851,9004,9656,8760,8942,7654
44,7768,7686,8635,9147,8805,8393,8469,8472,7852,8996,9661,8761,8943,7664
45,7766,7685,8641,9145,8806,8396,8471,8473,7859,8997,9659,8758,8938,7659
46,7768,7686,8646,9145,8800,8390,8469,8469,7861,8998,9657,8762,8940,7659
47,7761,7690,8641,9148,8805,8394,8471,8470,7860,8997,9657,8761,8936,7659
48,7762,7687,8638,9148,8806,8391,8471,8476,7857,8998,9659,8758,8937,7660
49,7761,7683,8641,9151,8808,8391,8476,8476,7858,8999,9652,8760,8940,7658
50,7765,7685,8643,9147,8809,8393,8469,8476,7861,8999,9652,8762,8942,7664
51,7767,7692,8641,9145,8812,8403,8468,8479,7860,8997,9659,8758,8943,7664
52,7768,7691,8643,9143,8808,8395,8474,8472,7858,9000,9663,8758,8947,7661
53,7767,7687,8648,9146,8806,8388,8477,8467,7860,9000,9661,8760,8945,7665
54,7765,7684,8645,9146,8804,8396,8472,8474,7856,8992,9657,8759,8942,7668
55,7767,7686,8641,9144,8804,8395,8470,8474,7851,8990,9661,8759,8944,7666
56,7764,7687,8641,9143,8808,8392,8474,8472,7853,8999,9663,8760,8947,7667
57,7764,7686,8643,9142,8804,8398,8476,8473,7856,8999,9666,8762,8947,7666
58,7764,7687,8643,9146,8804,8402,8477,8474,7855,8991,9667,8763,8939,7656
59,7768,7687,8642,9145,8807,8394,8470,8473,7854,8992,9664,8762,8941,7661
60,7766,7686,8642,9149,8816,8403,8473,8473,7856,8994,9659,8757,8941,7666
61,7770,7687,8644,9153,8812,8402,8478,8473,7855,8992,9662,8760,8940,7668
62,7769,7689,8643,9153,8808,8398,8480,8471,7856,8993,9661,8758,8941,7660
63,7769,7688,8644,9147,8803,8390,8471,8474,7854,8993,9658,8757,8944,7660
64,7766,7689,8647,9150,8809,8395,8477,8480,7855,8990,9656,8755,8932,7658
65,7769,7687,8647,9152,8810,8394,8480,8478,7858,8995,9656,8759,8934,7663
66,7765,7686,8643,9152,8814,8397,8475,8472,7859,8993,9658,8758,8944,7665
